 ; ; ; : ; ; ; : ; ; ; :938519;93.85;A+;0:
 ; ; ; : ; ; ; : ; ; ; : ; ; ; :
 ; ; ; : ; ; ; :968826;96.88;S;0:959581;95.95;S-;0:
 ; ; ; : ; ; ; :978052;97.8;S;0:795695;79.56;C+;0:
978363;97.83;S;0:985242;98.52;S+;1:978678;97.86;S;0:978684;97.86;S;0:
 ; ; ; :983104;98.31;S+;0:954631;95.46;S-;0:877319;87.73;B+;0:
968601;96.86;S;0:983674;98.36;S+;1:977923;97.79;S;0:950215;95.02;S-;0:
 ; ; ; :979119;97.91;S;0: ; ; ; :953468;95.34;S-;0:
